Product Details,Brand,Price,Link,Category
"X-Level Samsung Galaxy S10 Plus Case Slim Fit Soft TPU Ultra Thin S 10 Plus Mobile Phone Cover Matte Finish Coating Grip Phone Case for Samsung Galaxy S10 Plus 6.4""(2019 Release)",X-level,$10.99 ,https://www.amazon.com/X-level-Samsung-Galaxy-Coating-Release/dp/B07RBSWVND/ref=sr_1_1?dchild=1&keywords=B07RBSWVND&qid=1623479092&s=electronics&sr=1-1,Cover
"MXX Case Compatible with iPhone 12 Pro Max, Super Thin Mobile Phone Cover Case with Soft Liquid Silicone Gel Finish Coating Full-Body Protective Designed for 12 Pro Max Case 6.7 inch - (Sand Pink)",MXX,$13.95 ,https://www.amazon.com/MXX-Compatible-Silicone-Full-Body-Protective/dp/B0924Q897W/ref=sr_1_1?dchild=1&keywords=B0924Q897W&qid=1623479143&s=electronics&sr=1-1,Cover
"Urban Armor Gear Plasma Protective Case for Samsung Galaxy S21 5G (6.2 Inch) Wireless Charging Compatible Cover, Shockproof Mobile Phone Case, Ultra Slim Bumper, Blue (Mallard Transparent)",URBAN ARMOR GEAR,$39.95 ,https://www.amazon.com/URBAN-ARMOR-GEAR-Lightweight-Transparent/dp/B08S5Q6939/ref=sr_1_1?dchild=1&keywords=B08S5Q6939&qid=1623479164&s=electronics&sr=1-1,Cover
Galaxy S9 Plus Case for Girls Women Shockproof Clear with Cute Pink Floral Design Protective Cell Phone Cover for Samsung Galaxy S9 Plus 6.2 Inch Flowers Pattern Print Rubber Slim Fit Flexible Cases,KIOMY,$9.99 ,https://www.amazon.com/Shockproof-Protective-Samsung-Flowers-Flexible/dp/B07BV3RK8Q/ref=sr_1_1?dchild=1&keywords=B07BV3RK8Q&qid=1623479186&s=electronics&sr=1-1,Cover
Samsung Original Galaxy S20 | S20 5G LED View Cover/Mobile Phone Case - Grey,SAMSUNG,$72.37 ,https://www.amazon.com/Samsung-Original-Galaxy-Cover-Mobile/dp/B083KMW1M6/ref=sr_1_1?dchild=1&keywords=B083KMW1M6&qid=1623479200&s=electronics&sr=1-1,Cover
"CasemartUSA Phone Case for [LG Journey LTE (L322DL)], [Loop Series][Black] Full Rotating Metal Ring Cover with Kickstand for LG Journey LTE (Tracfone, Simple Mobile, Straight Talk, Total Wireless)",CasemartUSA,$9.75 ,https://www.amazon.com/CasemartUSA-Rotating-Kickstand-Tracfone-Straight/dp/B083C5NPFQ/ref=sr_1_1?dchild=1&keywords=B083C5NPFQ&qid=1623479215&s=electronics&sr=1-1,Cover
"CAFEWICH iPhone 6/6S Case Heavy Duty Shockproof High Impact Tough Rugged Hybrid Rubber Triple Defender Protective Anti-Shock Silicone Mobile Phone Cover for iPhone 6/6S 4.7""(LtBlue)",CAFEWICH,$9.98 ,https://www.amazon.com/Shockproof-Silicone-Protective-Anti-shock-Shatter-resistant/dp/B078M9KZMX/ref=sr_1_1?dchild=1&keywords=B078M9KZMX&qid=1623479227&s=electronics&sr=1-1,Cover
"Samsung Galaxy Note 10 Plus Case Orange Floral with Lanyard for Women Girls Protective Shockproof Cute Pink Flower Pattern Cell Phone Bumper Cover Case Neck Strap for Galaxy Note 10 Plus 6.8""",KANGHAR,$9.99 ,https://www.amazon.com/Samsung-Lanyard-Protective-Shockproof-Pattern/dp/B092VW9FSJ/ref=sr_1_1?dchild=1&keywords=B092VW9FSJ&qid=1623479282&s=electronics&sr=1-1,Cover
"($) WOGROO Samsung Galaxy S9 Case,Shockproof Matte Acrylic Slim Fit Protective Scratch-Resisitant Black Clear Cell Phone Cases",WOGROO,$9.99 ,https://www.amazon.com/WOGROO-Samsung-Shockproof-Protective-Scratch-Resisitant/dp/B08PYWTZLD/ref=sr_1_1?dchild=1&keywords=B08PYWTZLD&qid=1623479298&s=electronics&sr=1-1,Cover
"KIOMY Case for Girls Women Clear with Purple Flowers Design Shockproof Bumper Protective Cell Phone Cover for LG-G6, LG G6 Plus 2017 Release Flexible Slim Fit Soft Rubber Cute Floral Girly Case",KIOMY,$7.99 ,https://www.amazon.com/KIOMY-Flowers-Shockproof-Protective-Flexible/dp/B07RXYC284/ref=sr_1_1?dchild=1&keywords=B07RXYC284&qid=1623479312&s=electronics&sr=1-1,Cover
"Phone Case for Moto One 5G Ace with Buil-in Clear Screen Protector, Full-Body Protection Shockproof Heavy Duty Military Protective Cell Phone Cover Compatible with Motorola One 5G Ace",JXVM,$9.99 ,https://www.amazon.com/Motorola-One-5G-Ace-Protection/dp/B092VGZPR2/ref=sr_1_1?dchild=1&keywords=B092VGZPR2&qid=1623479324&s=electronics&sr=1-1,Cover
